Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
                0.00    0.00       1/7           SegTree::SegTree(std::vector<long long, std::allocator<long long> >&)::{lambda(long long, long long, long long)#1}::operator()(long long, long long, long long) const [152]
                0.00    0.00       2/7           SegTree::apply(long long, long long) [47]
                0.00    0.00       3/7           SegTree::pushdn(long long) [81]
[13]     0.0    0.00    0.00       7         std::vector<long long, std::allocator<long long> >::operator[](unsigned long) [13]
-----------------------------------------------
                0.00    0.00       1/6           SegTree::SegTree(std::vector<long long, std::allocator<long long> >&) [82]
                0.00    0.00       1/6           std::vector<Node, std::allocator<Node> >::_S_check_init_len(unsigned long, std::allocator<Node> const&) [121]
                0.00    0.00       1/6           std::vector<Node, std::allocator<Node> >::_M_move_assign(std::vector<Node, std::allocator<Node> >&&, std::integral_constant<bool, true>) [120]
                0.00    0.00       3/6           std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl::~_Vector_impl() [35]
[14]     0.0    0.00    0.00       6         std::allocator<Node>::~allocator() [14]
                0.00    0.00       6/6           std::__new_allocator<Node>::~__new_allocator() [20]
-----------------------------------------------
                0.00    0.00       1/6           std::_Vector_base<long long, std::allocator<long long> >::get_allocator() const [86]
                0.00    0.00       2/6           std::vector<long long, std::allocator<long long> >::_S_check_init_len(unsigned long, std::allocator<long long> const&) [65]
                0.00    0.00       3/6           std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl(std::allocator<long long> const&) [38]
[15]     0.0    0.00    0.00       6         std::allocator<long long>::allocator(std::allocator<long long> const&) [15]
                0.00    0.00       6/6           std::__new_allocator<long long>::__new_allocator(std::__new_allocator<long long> const&) [21]
-----------------------------------------------
                0.00    0.00       6/6           std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data&) [52]
[16]     0.0    0.00    0.00       6         std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<Node, std::allocator<Node> >::_Vector_impl_data const&) [16]
-----------------------------------------------
                0.00    0.00       1/6           std::vector<Node, std::allocator<Node> >::_M_default_initialize(unsigned long) [122]
                0.00    0.00       2/6           std::vector<Node, std::allocator<Node> >::_M_move_assign(std::vector<Node, std::allocator<Node> >&&, std::integral_constant<bool, true>) [120]
                0.00    0.00       3/6           std::vector<Node, std::allocator<Node> >::~vector() [40]
[17]     0.0    0.00    0.00       6         std::_Vector_base<Node, std::allocator<Node> >::_M_get_Tp_allocator() [17]
-----------------------------------------------
                0.00    0.00       6/6           std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data&) [55]
[18]     0.0    0.00    0.00       6         std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_M_copy_data(std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data const&) [18]
-----------------------------------------------
                0.00    0.00       1/6           std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl::_Vector_impl() [100]
                0.00    0.00       2/6           std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data::_M_swap_data(std::_Vector_base<long long, std::allocator<long long> >::_Vector_impl_data&) [55]
